# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
4.99.1.9     13977.94   517.70
4.99.1.1     13977.94   517.70
2.5.1.61     13948.86   516.62
3.1.2.6      13939.25   516.27
1.1.1.94     13918.97   515.52
4.99.1.4     13908.96   515.15
2.7.7.87     13894.72   514.62
2.7.6.3      13802.44   511.20
2.7.4.22     13782.25   510.45
4.1.2.17     13764.91   509.81
1.2.1.32     13760.44   509.65
1.2.1.85     13760.44   509.65
2.1.1.198    13759.62   509.62
3.1.3.12     13756.37   509.50
5.1.3.1      13743.09   509.00
2.4.2.19     13741.32   508.94
1.3.1.76     13737.61   508.80
6.3.2.1      13722.45   508.24
5.1.1.7      13712.60   507.87
1.3.1.1      13644.92   505.37
1.3.1.34     13637.22   505.08
1.2.7.12     13562.13   502.30
2.5.1.90     13556.34   502.09
1.3.8.6      13551.19   501.90
6.3.4.3      13516.12   500.60
3.4.24.84    13484.97   499.44
2.4.1.109    13470.31   498.90
3.2.1.141    13427.14   497.30
3.1.26.12    13418.09   496.97
3.5.2.2      13417.58   496.95
5.3.1.5      13411.43   496.72
2.4.2.17     13396.88   496.18
2.4.2.9      13359.43   494.79
2.5.1.39     13358.70   494.77
1.1.1.69     13348.81   494.40
3.4.24.70    13335.57   493.91
2.4.1.187    13322.74   493.43
3.1.26.3     13302.82   492.70
2.1.1.64     13276.83   491.73
2.1.1.222    13272.20   491.56
2.8.3.12     13268.11   491.41
3.5.4.40     13217.40   489.53
2.6.1.85     13212.91   489.37
3.1.3.15     13190.90   488.55
1.8.7.1      13187.91   488.44
2.4.1.339    13173.39   487.90
2.4.1.340    13173.39   487.90
1.21.98.1    13170.86   487.81
1.2.3.3      13147.03   486.93
2.7.7.18     13056.76   483.58
4.3.1.4      13046.31   483.20
6.2.1.20     12994.62   481.28
3.5.1.88     12985.98   480.96
1.3.1.10     12909.57   478.13
3.1.7.2      12908.95   478.11
2.5.1.72     12881.11   477.08
1.18.6.1     12870.06   476.67
2.3.1.40     12836.72   475.43
3.5.1.25     12835.31   475.38
4.1.1.65     12800.16   474.08
4.4.1.1      12732.80   471.59
6.1.1.22     12706.89   470.63
2.8.3.5      12706.75   470.62
1.2.1.41     12645.72   468.36
5.3.1.16     12619.49   467.39
3.1.21.2     12474.65   462.02
1.8.1.2      12461.17   461.52
2.7.7.70     12443.07   460.85
3.5.2.6      12442.38   460.83
2.7.7.77     12404.01   459.41
1.7.2.5      12385.59   458.73
1.1.1.103    12381.52   458.57
3.5.3.12     12376.40   458.39
4.2.1.113    12359.49   457.76
2.7.1.167    12357.36   457.68
5.1.1.3      12322.49   456.39
2.5.1.32     12313.66   456.06
2.4.1.8      12308.79   455.88
2.5.1.99     12290.42   455.20
2.1.3.1      12271.49   454.50
3.5.1.124    12257.73   453.99
1.5.5.2      12239.75   453.32
1.2.7.7      12213.59   452.36
2.7.1.49     12202.76   451.95
2.7.4.7      12202.76   451.95
3.4.21.105   12165.30   450.57
3.6.1.13     12140.29   449.64
2.1.1.45     12134.97   449.44
1.2.99.10    12102.84   448.25
2.6.1.102    12088.59   447.73
2.1.1.170    12062.57   446.76
2.7.1.24     12037.95   445.85
4.1.1.48     12033.23   445.68
4.2.3.12     12018.11   445.12
1.17.1.8     12017.57   445.10
4.1.2.50     12016.42   445.05
3.5.3.11     11999.35   444.42
2.4.2.2      11880.32   440.01
3.5.4.13     11837.71   438.43
2.1.1.193    11826.00   438.00
1.1.2.3      11805.34   437.23
2.8.3.16     11751.05   435.22
2.7.8.8      11707.94   433.63
2.3.1.47     11698.08   433.26
1.5.99.6     11677.31   432.49
6.6.1.2      11648.77   431.44
6.4.1.4      11585.64   429.10
4.2.2.23     11561.86   428.22
3.5.2.9      11501.90   426.00
2.4.2.1      11457.64   424.36
1.97.1.9     11452.16   424.15
1.17.1.1     11448.66   424.02
5.3.1.13     11434.49   423.50
4.1.1.7      11420.69   422.99
3.2.1.135    11347.97   420.30
6.3.2.45     11344.64   420.17
3.1.26.11    11338.72   419.95
2.1.2.2      11304.87   418.70
