# number of annotations: 3391
# number of IDs: 27
# %sparse: 19.56

# the sum and mean counts per row
                    sum       mean
enzyme                            
Unclassified  195809787 7252214.33
2.5.1.120         28530    1056.67
3.5.1.53          28355    1050.19
1.2.7.4           28299    1048.11
4.2.1.6           28192    1044.15
2.5.1.105         28169    1043.30
3.5.1.6           28057    1039.15
3.1.22.4          28050    1038.89
2.8.1.12          28005    1037.22
1.1.1.41          27747    1027.67
2.7.1.202         27708    1026.22
6.3.5.11          27700    1025.93
6.3.5.9           27700    1025.93
2.3.1.181         27647    1023.96
1.1.1.336         27644    1023.85
3.1.26.5          27644    1023.85
1.7.99.1          27401    1014.85
1.1.99.3          27395    1014.63
3.2.1.99          27320    1011.85
4.2.1.82          27257    1009.52
2.1.1.258         27103    1003.81
6.3.4.20          27089    1003.30
1.1.1.127         27032    1001.19
6.3.5.10          26979     999.22
2.7.1.168         26915     996.85
3.4.23.36         26854     994.59
4.1.1.7           26799     992.56
3.4.19.5          26755     990.93
4.3.99.3          26732     990.07
5.1.1.20          26722     989.70
1.1.1.26          26527     982.48
3.5.4.33          26420     978.52
5.1.2.7           26360     976.30
3.6.3.25          26311     974.48
3.6.3.5           26299     974.04
3.6.3.3           26299     974.04
4.1.2.27          26281     973.37
5.1.3.11          26228     971.41
2.3.1.19          26103     966.78
2.1.1.86          26046     964.67
2.7.7.76          26037     964.33
4.3.1.1           26006     963.19
4.2.1.151         25991     962.63
5.4.99.18         25990     962.59
4.1.3.38          25913     959.74
2.7.1.48          25842     957.11
3.6.3.30          25799     955.52
1.1.1.60          25703     951.96
3.5.2.10          25626     949.11
2.4.2.7           25549     946.26
2.7.7.33          25436     942.07
2.6.1.55          25387     940.26
4.4.1.5           25339     938.48
3.2.1.26          25336     938.37
4.2.1.79          25278     936.22
2.5.1.129         25215     933.89
1.1.1.27          25207     933.59
4.3.1.12          25201     933.37
5.1.2.3           24992     925.63
2.5.1.56          24878     921.41
3.2.1.156         24837     919.89
3.1.4.53          24822     919.33
2.7.1.170         24776     917.63
1.14.14.5         24648     912.89
3.1.3.2           24638     912.52
1.7.2.1           24573     910.11
2.3.1.117         24530     908.52
3.1.3.45          24500     907.41
5.1.99.1          24366     902.44
2.6.1.2           24350     901.85
3.4.17.13         24269     898.85
3.1.13.5          24266     898.74
1.1.2.4           24243     897.89
1.2.1.28          24203     896.41
6.2.1.48          24178     895.48
3.1.2.1           24159     894.78
1.6.1.1           24153     894.56
3.5.99.6          24093     892.33
3.4.22.40         24053     890.85
